,Bugged
65015f8ed972192679c2b445,False
65015dc7d972192679c2b37e,False
6500b4cc8d92e126ae6b18e6,True
650088728d92e126ae6afed8,False
650079d5d972192679c2554c,False
650073c78d92e126ae6af388,False
65005e7a8d92e126ae6ae894,False
65005ce98d92e126ae6ae7c3,False
65005c16d972192679c2466e,False
650058c6e4033326cbd60ca6,False
650057f48d92e126ae6ae504,False
650055dbd972192679c24317,False
6500448b8d92e126ae6adb6a,False
65001b408d92e126ae6aca4c,False
64ff577d8d92e126ae6a8138,False
64ff52b2d972192679c1dd42,False
64ff1d0b8d92e126ae6a6104,False
64fed23fd972192679c19cc3,False
64fed14d8d92e126ae6a3d1d,False
64fec4d38d92e126ae6a3822,False
64fe3999d972192679c1696e,False
64fe275ad972192679c1631e,False
64fe2304e4033326cbd52a08,False
64fdfa1bd972192679c152d3,False
64fdd8f5e4033326cbd50f04,False
64fdd261e4033326cbd50c8a,False
64fdb76be4033326cbd5013b,False
64fda0c0e4033326cbd4f8a7,False
64fd85f4d972192679c126c6,False
64fd83b6e4033326cbd4ee2e,False
64fd8040e4033326cbd4ed00,False
64fd7e918d92e126ae69c43e,False
64fb65058d92e126ae69012f,False
64f820d1e4033326cbd2e129,False
64f7b0978d92e126ae6797c5,False
64f7aec0d972192679bef69b,False
64f784d2d972192679beea43,False
64f781f08d92e126ae6789ae,False
64f75d02e4033326cbd2a5bb,False
64f75c108d92e126ae677de4,False
64f73675d972192679bed05a,False
64f734aae4033326cbd29769,False
64f732d7d972192679beceaf,False
64f7301ee4033326cbd29593,False
64f71cb08d92e126ae67657a,False
64f71990e4033326cbd28b83,False
64f6f753d972192679beb6cd,False
64f6f74de4033326cbd27eb9,False
64f6f603e4033326cbd27e22,False
64f6e1fa8d92e126ae674f81,False
64f6111bd972192679be6ac7,False
64f60eebd972192679be69dd,False
64f5dd188d92e126ae66f636,False
64f5b5a6d972192679be433b,False
64f5b225d972192679be4196,False
64f5b170d972192679be412c,False
64f5b16dd972192679be4127,False
64f5b165e4033326cbd20aae,False
64f5b165d972192679be411f,False
64f5b12dd972192679be40fc,False
64f5b15a8d92e126ae66e244,False
64f5b1518d92e126ae66e23d,False
64f5b14ee4033326cbd20a9a,False
64f5b1288d92e126ae66e21f,False
64f5b11ee4033326cbd20a80,False
64f5b124e4033326cbd20a86,False
64f5b11dd972192679be40f1,False
64f5b11be4033326cbd20a7c,False
64f5a689d972192679be3d53,False
64f49211e4033326cbd1aef4,False
64f48c00d972192679bde4d1,False
64f362cbd972192679bd9604,False
64f35fa4d972192679bd94c4,False
64f33f99d972192679bd8ab9,False
64ef24748e4aa6225ed73e95,False
64ee6de58e4aa6225ed702f8,False
64ee6bbd8e4aa6225ed7024b,False
64ee67388e4aa6225ed700d5,False
64ee63c49d312622a39831f7,False
6501d6ddd972192679c30cae,False
6501e2b2e4033326cbd6dfc0,False
